"","p.name","p.id","p.owner","track.name","track.id","added.at","track.duration","track.popularity","track.dance","track.energy","track.key","track.loudness","track.speechiness","track.acousticness","track.instrumentalness","track.liveness","track.valence","track.tempo"
"52","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Angela","5bodDpPolC3xlame0SVcDY","2017-03-12T16:07:24Z",201785,66,0.668,0.563,4,-8.23,0.0305,0.649,0.000347,0.11,0.299,130.366
"53","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Shines","3eK4Rh8wjiVfYncZgWekzr","2017-03-12T17:15:34Z",213506,38,0.506,0.761,7,-7.093,0.0249,0.259,0.121,0.15,0.783,98.698
"54","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Snow In Newark (feat. Dawn Golden)","2jDotBEJeHnoyrbBRVR6Bw","2017-03-13T17:33:38Z",243956,49,0.663,0.718,0,-7.587,0.0386,0.358,0.0969,0.101,0.408,90.996
"55","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Comfort Inside Plastic","6KMRGjIj6JHg93gQv7TbGx","2017-03-13T17:42:21Z",150706,24,0.638,0.264,9,-16.635,0.037,0.709,0.797,0.0829,0.362,145.008
"56","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Fingertips","2x7oAXiAlAIWfwxMdzQeKQ","2017-03-13T17:42:29Z",196413,52,0.611,0.608,2,-7.491,0.0346,0.168,0.00131,0.248,0.179,127.893
"57","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Don't Need U","4fKd5LomjShS4NgKNcGNxx","2017-03-13T22:23:50Z",335000,43,0.732,0.524,2,-7.538,0.0692,0.205,0.00335,0.0775,0.175,154.302
"58","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Firebird","29UccmEOSp9Zb4YTdPk8Ks","2017-03-17T16:41:24Z",221640,59,0.756,0.646,2,-8.126,0.034,0.0403,0.00784,0.166,0.377,109.983
"59","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Cold Blue Rain","2lHJmKHN768UkN39rp7Z7Y","2017-03-17T16:51:46Z",297320,56,0.642,0.618,8,-8.062,0.0411,0.265,0.000324,0.0986,0.547,164.015
"60","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","The Alter","23q8i9J3Jcb7IzuE5w3adp","2017-03-18T21:55:02Z",222684,30,0.591,0.56,7,-7.886,0.0286,0.0167,0.0433,0.0828,0.153,122.495
"61","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Passionfruit","5mCPDVBb16L4XQwDdbRUpz","2017-03-19T01:52:09Z",298940,94,0.804,0.459,11,-11.556,0.039,0.304,0.0862,0.11,0.372,111.963
"62","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Comb My Hair","6Nv9wnmvvlpEL9D7Cs7CwE","2017-03-21T21:38:57Z",255666,55,0.431,0.799,8,-5.193,0.0656,0.00751,6.75e-06,0.342,0.584,161.95
"63","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Smoke & Mirrors","1YI6wLnlhRIYCBq5vg2tfx","2017-03-22T00:36:53Z",218506,57,0.649,0.591,9,-11.936,0.198,0.719,0.78,0.122,0.42,90.006
"64","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Waiting","1Xu47hsEbyKfdmlV2DgQw9","2017-03-22T13:06:30Z",262317,59,0.674,0.643,4,-6.955,0.0436,0.386,0.17,0.106,0.347,82.103
"65","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Your Call","0WOAazD28H3cCN0gZkKGtW","2017-03-22T13:17:12Z",231893,27,0.771,0.511,10,-4.689,0.115,0.626,0,0.31,0.929,93.049
"66","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Jacket Weather","5GnUTAwSCkr9WyYnt9BpbD","2017-03-23T22:54:35Z",181422,42,0.797,0.693,1,-4.806,0.037,0.685,0.00192,0.153,0.375,126.964
"67","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Under Lock and Key","4LxvIbya6ZRRxgNIZOohnl","2017-03-24T22:21:54Z",387600,20,0.441,0.592,5,-7.736,0.0288,0.479,0.0788,0.127,0.281,78.547
"68","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Saturday","50wiHcvfcpQSo5P5rbyozc","2017-03-24T23:14:37Z",283026,54,0.525,0.717,0,-6.06,0.0339,0.0716,0.575,0.121,0.206,130.898
"69","Mar2017","2jVR3FTITkUv6MhfGlG9V3","mark.rossi.06","Stumble (feat. Parcels) - Richard Dorfmeister Cinematic Way Version","3t7dtvLMR8HgPv3JTkLqfL","2017-03-24T23:29:18Z",359927,40,0.698,0.599,5,-11.237,0.049,0.356,0.626,0.155,0.196,91.987
